English_Sentence,Hindi_Sentence,Word_Count_English,Word_Count_Hindi,WC_Difference,Char_Count_English,Char_Count_Hindi,CC_Difference
"However, Paes, who was partnering Australia's Paul Hanley, could only go as far as the quarterfinals where they lost to Bhupathi and Knowles","Whosoever desires the reward of the world, with Allah is the reward of the world and of the Everlasting Life. Allah is the Hearer, the Seer.",23,26,-3,140,140,0
"After the assent of the Honble President on 8thSeptember, 2016, the 101thConstitutional Amendment Act, 2016 came into existence","""The court has fixed a hearing for February 12",18,9,9,127,46,81
"Briefing media in New Delhi today, party's State-in-charge, Anil Jain said, after the meeting the party will meet the Governor to stake claim for government formation in the state.","""Jesus responded, as he taught in the temple, """"How is it that the scribes say that the Christ is the son of David?""",29,23,6,180,116,64
Senior leaders of all major parties held electioneering in favour of their candidates.,"Meanwhile, three people came there on a bike.",13,8,5,86,45,41
Katrina shared the video on Instagram.,He does this because he is angry at the alleged desecration of the Indian flag,6,15,-9,38,78,-40
Attempts to contact Randhawa on his mobile over the past one week have remained futile.,"""The Alto 800 incorporates a Wavefront Design, a more traditional car look, compared to the Nano",15,16,-1,87,96,-9
"""The Shias venerate him as a member of the family of imams, while the Sunni simply see him as a person of great sanctity.","Hence, we must make sure we ourselves dont become careless, not allow anyone else do so",24,16,8,121,87,34
"Mayawati, Akhilesh Yadav seal pact for 2019 polls: BSP-SP not to contest in Amethi, Raebareli","""They are not seen anywhere.",15,5,10,93,28,65
"Joseph dreamed a dream, and he told it to his brothers, and they hated him all the more.","""They praise night and day, without ever tiring.",18,8,10,88,48,40
"He sees what they are going through in these critical times, and he knows their innermost feelings. 2 Timothy 3: 1. Acts 17: 27.",New Delhi: Noted scientist Sivan K was appointed Chairman of the Indian Space Research Organisation on Wednesday.,24,17,7,128,113,15
